alumni_id,name,major,company,position,graduation_year
UB0060,Nina Oktaviani,Keuangan Perbankan,Tokopedia,Officer HR,2021
UB0061,Irfan Santoso,Ilmu Komunikasi,Bank BCA,Senior Staff Admin,2018
UB0062,Citra Prasetyo,Teknik Informatika,PT Tsubaki Indonesia Manufacturing,Senior Product Manager,2021
UB0063,Radit Budiman,Manajemen,Telkom Indonesia,Junior Staff Finance,2023
UB0064,Budi Wulandari,Teknik Sipil,PT Handal Guna Sarana,Manager Sales,2021
UB0065,Laras Setiawan,Teknik Mesin,"PT Bank Danamon Indonesia, Tbk",Analyst Marketing,2019
UB0066,Vina Setiawan,Administrasi Publik,PT CFU Technology Indonesia,Officer Admin,2016
UB0067,Hadi Yudhoyono,Ilmu Komunikasi,Gojek,Analyst Sales,2015
UB0068,Yoga Wulandari,Hubungan Internasional,PT Sejahtera Abadi,Junior Staff Admin,2023
UB0069,Rizky Darmawan,Ilmu Ekonomi,CV Maju Mundur,Supervisor Marketing,2021
UB0070,Dewi Siregar,Sistem Informasi,PT CFU Technology Indonesia,Lead Software Engineer,2021
UB0071,Putri Kusuma,Teknik Informatika,CV Maju Mundur,Senior Software Engineer,2023
UB0072,Radit Santoso,Akuntansi,PT. Bank KEB Hana Indonesia,Specialist Operations,2019
UB0073,Eko Kurnia,Akuntansi,PT MAS ARYA INDONESIA,Analyst Admin,2019
UB0074,Lestari Darmawan,Ilmu Ekonomi,JAPFA FOOD INDONESIA,Engineer Marketing,2021
UB0075,Aditya Kurnia,Manajemen,PT Kapal Api Global,Specialist Sales,2023
UB0076,Radit Setiawan,Sistem Informasi,PT Tsubaki Indonesia Manufacturing,Senior Data Scientist,2022
UB0077,Gilang Aditama,Ilmu Ekonomi,PT Sejahtera Abadi,Engineer Marketing,2020
UB0078,Yoga Setiawan,Teknik Lingkungan,"PT Japfa Comfeed Indonesia, Tbk",Manager Marketing,2018
UB0079,Kevin Vebrianto,Agribisnis,PT Trinusa Travelindo,Specialist HR,2020
UB0080,Indah Darmawan,Administrasi Publik,PT Sumber Rejeki,Engineer Admin,2019
UB0081,Desi Wijaya,Ilmu Ekonomi,Bank Mandiri,Analyst Admin,2023
UB0082,Bayu Nugroho,Pendidikan TI,PT Bank KEB Hana Indonesia,Specialist Operations,2022
UB0083,Aditya Gunawan,Ilmu Komunikasi,"PT Japfa Comfeed Indonesia, Tbk",Manager HR,2018
UB0084,Bayu Kurnia,Psikologi,Gojek,Head of Department Operations,2023
UB0085,Hana Setiawan,Teknologi Hasil Pertanian,Bank BCA,Senior Staff Admin,2020
UB0086,Dimas Aditama,Manajemen,Bank Mandiri,Management Trainee Sales,2015
UB0087,Hadi Kurnia,Teknik Mesin,PT Bank KEB Hana Indonesia,Engineer Finance,2020
UB0088,Radit Vebrianto,Hubungan Internasional,PT Sumber Rejeki,Manager Admin,2019
UB0089,Joko Wijaya,Arsitektur,PT Trinusa Travelindo,Junior Staff Sales,2023
UB0090,Fajar Utami,Ilmu Ekonomi,Xiaomi Technology,Junior Staff Marketing,2015
UB0091,Putri Fauzi,Teknik Informatika,JAPFA FOOD INDONESIA,Senior Software Engineer,2020
UB0092,Fajar Baswedan,Sistem Informasi,PT Trinusa Travelindo,Junior Product Manager,2020
UB0093,Dewi Aditama,Hubungan Internasional,PHINTRACO GROUP,Specialist HR,2021
UB0094,Gilang Laksana,Agribisnis,Shopee,Specialist Finance,2022
UB0095,Gilang Aditama,Psikologi,"PT. Trimegah Sekuritas Indonesia, Tbk",Consultant HR,2019
UB0096,Sarah Oktaviani,Ekonomi Islam,PT Bank KEB Hana Indonesia,Head of Department Admin,2019
UB0097,Kevin Aminah,Teknik Lingkungan,PT Handal Guna Sarana,Manager HR,2022
UB0098,Chandra Budiman,Pendidikan TI,"PT SMART,Tbk",Junior Staff Sales,2020
UB0099,Hadi Pangestu,Teknologi Hasil Pertanian,JAPFA FOOD INDONESIA,Supervisor Admin,2020
UB0100,Xena Puspa,Sistem Informasi,"PT SMART,Tbk",Lead Data Scientist,2020
UB0101,Qori Soekarno,Ilmu Komunikasi,PT Handal Guna Sarana,Senior Staff Finance,2015
UB0102,Agus Yudhoyono,Agribisnis,Gojek,Analyst HR,2015
UB0103,Nina Kusumo,Ilmu Ekonomi,"PT Bank Danamon Indonesia, Tbk",Head of Department Marketing,2021
UB0104,Indah Permata,Psikologi,PT Trinusa Travelindo,Supervisor Finance,2021
UB0105,Agus Kusumo,Teknik Informatika,StartUp Gagal Bangkit,Senior Data Scientist,2018
UB0106,Nadia Pratama,Arsitektur,PT Kapal Api Global,Senior Staff HR,2015
UB0107,Hana Lestari,Keuangan Perbankan,PT Sejahtera Abadi,Officer Operations,2016
UB0108,Sarah Puspa,Teknologi Informasi,CV Maju Mundur,Lead IT Support,2019
UB0109,Vina Irawan,Teknik Sipil,"PT DCI Indonesia, Tbk",Supervisor HR,2021
UB0110,Okta Lestari,Ilmu Hukum,PT Trinusa Travelindo,Management Trainee Finance,2015
UB0111,Nina Rahmawati,Ilmu Komunikasi,"PT. Trimegah Sekuritas Indonesia, Tbk",Head of Department Operations,2017
UB0112,Arif Kartika,Teknik Informatika,"PT SMART,Tbk",Lead Product Manager,2018
UB0113,Erlangga Pangestu,Arsitektur,PT Bank KEB Hana Indonesia,Analyst HR,2015
UB0114,Citra Aminah,Administrasi Publik,"PT Bank Danamon Indonesia, Tbk",Officer Finance,2021
UB0115,Bella Santoso,Teknologi Informasi,PT Mencari Cinta Sejati,Senior DevOps,2023
UB0116,Julia Fauzi,Hubungan Internasional,Bank BCA,Junior Staff Marketing,2022
UB0117,Gita Kartika,Ilmu Ekonomi,Xiaomi Technology,Manager Finance,2023
UB0118,Dimas Tanjung,Teknologi Informasi,Bank Mandiri,Lead Software Engineer,2018
UB0119,Gita Anggara,Teknik Mesin,Bank Mandiri,Analyst Admin,2018
UB0120,Indah Zulkarnain,Ekonomi Islam,PT Handal Guna Sarana,Consultant HR,2017
UB0121,Farhan Widodo,Pendidikan TI,PT Penerbit Erlangga,Management Trainee Marketing,2018
UB0122,Putri Suharto,Teknik Sipil,PT CFU Technology Indonesia,Junior Staff Finance,2021
UB0123,Julia Suharto,Teknologi Informasi,PHINTRACO GROUP,Senior Data Scientist,2018
UB0124,Nina Soekarno,Teknik Lingkungan,CV Maju Mundur,Supervisor Sales,2016
UB0125,Gilang Suharto,Teknik Lingkungan,PT Penerbit Erlangga,Officer Finance,2018
UB0126,Laras Pratama,Teknik Industri,PT Trinusa Travelindo,Supervisor Finance,2022
UB0127,Citra Fauzi,Ekonomi Islam,PHINTRACO GROUP,Engineer Admin,2017
UB0128,Tegar Rahmawati,Agribisnis,Gojek,Management Trainee Admin,2020
UB0129,Fajar Vebrianto,Hubungan Internasional,PT Bank KEB Hana Indonesia,Manager Marketing,2017
UB0130,Kevin Zulkarnain,Pendidikan TI,PT Penerbit Erlangga,Head of Department Marketing,2023
UB0131,Julia Firmansyah,Teknologi Hasil Pertanian,JAPFA FOOD INDONESIA,Senior Staff HR,2019
UB0132,Dewi Nugroho,Sistem Informasi,Tokopedia,Senior Data Scientist,2020
UB0133,Kevin Setiawan,Teknik Mesin,Telkom Indonesia,Senior Staff Finance,2016
UB0134,Rina Prasetyo,Ilmu Ekonomi,PT Trinusa Travelindo,Engineer Admin,2020
UB0135,Kartika Siregar,Ekonomi Islam,PT Mencari Cinta Sejati,Manager Finance,2021
UB0136,Indah Utami,Ekonomi Islam,PT Solusi Transportasi Indonesia,Junior Staff Marketing,2015
UB0137,Radit Pangestu,Teknik Komputer,Shopee,Junior IT Support,2015
UB0138,Budi Yulianto,Teknik Komputer,PT Penerbit Erlangga,Junior Data Scientist,2022
UB0139,Gita Jaya,Teknik Informatika,"PT Japfa Comfeed Indonesia, Tbk",Lead Product Manager,2022
UB0140,Irfan Suharto,Agribisnis,PHINTRACO GROUP,Specialist Admin,2022
UB0141,Qori Utami,Teknologi Hasil Pertanian,Tokopedia,Specialist Marketing,2023
UB0142,Agus Rahmawati,Sistem Informasi,PT Mencari Cinta Sejati,Lead DevOps,2015
UB0143,Sarah Prasetyo,Teknik Sipil,PT Penerbit Erlangga,Officer Operations,2020
UB0144,Kartika Maulana,Hubungan Internasional,Gojek,Consultant Finance,2020
UB0145,Arif Nugroho,Ekonomi Islam,PT Handal Guna Sarana,Analyst Admin,2017
UB0146,Wahyu Fauzi,Ilmu Ekonomi,Telkom Indonesia,Manager Admin,2020
UB0147,Radit Kusumo,Agribisnis,PT Solusi Transportasi Indonesia,Engineer Admin,2020
UB0148,Siti Darmawan,Teknik Mesin,StartUp Gagal Bangkit,Specialist Operations,2021
UB0149,Laras Prasetyo,Teknik Informatika,JAPFA FOOD INDONESIA,Senior Product Manager,2022
UB0150,Aditya Efendi,Ilmu Komunikasi,PT CFU Technology Indonesia,Analyst Admin,2016
UB0151,Agus Wijaya,Pendidikan TI,"PT SMART,Tbk",Officer Operations,2016
UB0152,Pandu Nasution,Teknik Elektro,PT CFU Technology Indonesia,Officer Admin,2019
UB0153,Radit Suharto,Pendidikan TI,PT Solusi Transportasi Indonesia,Engineer Marketing,2016
UB0154,Andi Hartono,Administrasi Publik,PT Solusi Transportasi Indonesia,Senior Staff Sales,2015
UB0155,Rina Hartono,Hubungan Internasional,PT MAS ARYA INDONESIA,Analyst Admin,2020
UB0156,Irfan Pratama,Agribisnis,Shopee,Analyst Marketing,2023
UB0157,Irfan Lestari,Sistem Informasi,PT Mencari Cinta Sejati,Senior Product Manager,2016
UB0158,Lestari Nasution,Teknik Sipil,"PT Japfa Comfeed Indonesia, Tbk",Specialist Operations,2018
UB0159,Radit Nugroho,Teknologi Informasi,PHINTRACO GROUP,Lead Software Engineer,2022
UB0160,Yoga Hartono,Psikologi,PT Sejahtera Abadi,Junior Staff Marketing,2015
UB0161,Rina Baswedan,Teknologi Informasi,PT Solusi Transportasi Indonesia,Senior Data Scientist,2015
UB0162,Hana Puspa,Akuntansi,PT Solusi Transportasi Indonesia,Officer Marketing,2020
UB0163,Kevin Kusumo,Teknologi Hasil Pertanian,PT Sejahtera Abadi,Supervisor Marketing,2021
UB0164,Kartika Fauzi,Agroekoteknologi,PT Solusi Transportasi Indonesia,Officer Sales,2017
UB0165,Okta Soekarno,Akuntansi,PT Tsubaki Indonesia Manufacturing,Specialist Admin,2023
UB0166,Tegar Irawan,Psikologi,PT Sumber Rejeki,Officer Admin,2021
UB0167,Siti Suharto,Teknik Industri,Telkom Indonesia,Officer Marketing,2022
UB0168,Qori Yudhoyono,Teknologi Hasil Pertanian,Tokopedia,Supervisor Sales,2020
UB0169,Gita Wibowo,Psikologi,PT Bank KEB Hana Indonesia,Management Trainee Marketing,2020
UB0170,Tegar Hartono,Ekonomi Islam,"PT Japfa Comfeed Indonesia, Tbk",Officer Sales,2015
UB0171,Vina Kusuma,Ilmu Komunikasi,Shopee,Officer Operations,2018
UB0172,Aditya Kurnia,Keuangan Perbankan,PHINTRACO GROUP,Management Trainee Admin,2016
UB0173,Agus Widodo,Ilmu Hukum,PT Indocyber Global Teknologi,Specialist Admin,2015
UB0174,Yoga Wijaya,Agroekoteknologi,PT Sejahtera Abadi,Head of Department HR,2021
UB0175,Nadia Pratama,Agroekoteknologi,PHINTRACO GROUP,Senior Staff Admin,2020
UB0176,Gita Vebrianto,Teknik Mesin,StartUp Gagal Bangkit,Analyst Admin,2016
UB0177,Julia Kurnia,Ilmu Ekonomi,Tokopedia,Manager HR,2021
UB0178,Irfan Budiman,Ekonomi Islam,PT Penerbit Erlangga,Management Trainee Operations,2016
UB0179,Farhan Kartika,Psikologi,PT Penerbit Erlangga,Manager HR,2023
UB0180,Kartika Susanto,Agroekoteknologi,"PT DCI Indonesia, Tbk",Analyst Admin,2018
UB0181,Nadia Kusuma,Teknologi Hasil Pertanian,"PT SMART,Tbk",Junior Staff HR,2015
UB0182,Arif Setiawan,Ilmu Ekonomi,JAPFA FOOD INDONESIA,Manager Finance,2023
UB0183,Citra Hidayat,Ilmu Komunikasi,"PT. Trimegah Sekuritas Indonesia, Tbk",Junior Staff HR,2017
UB0184,Nadia Aminah,Teknik Mesin,Gojek,Analyst Finance,2020
UB0185,Utomo Gunawan,Teknik Industri,Xiaomi Technology,Manager Operations,2020
UB0186,Nina Hidayat,Keuangan Perbankan,"PT Bank Danamon Indonesia, Tbk",Junior Staff Sales,2022
UB0187,Yoga Budiman,Sistem Informasi,"PT. Trimegah Sekuritas Indonesia, Tbk",Lead Data Scientist,2023
UB0188,Putri Soekarno,Teknik Industri,Bank BCA,Supervisor Admin,2023
UB0189,Irfan Anggara,Teknik Industri,PT Solusi Transportasi Indonesia,Management Trainee Admin,2019
UB0190,Budi Yulianto,Agribisnis,PT MAS ARYA INDONESIA,Head of Department Sales,2023
UB0191,Bagas Hidayat,Akuntansi,"PT. Trimegah Sekuritas Indonesia, Tbk",Supervisor Finance,2021
UB0192,Aditya Wibowo,Pendidikan TI,PT Mencari Cinta Sejati,Engineer Sales,2020
UB0193,Aditya Puspa,Hubungan Internasional,"PT SMART,Tbk",Senior Staff Marketing,2016
UB0194,Hadi Prasetyo,Teknik Elektro,"PT SMART,Tbk",Engineer Admin,2017
UB0195,Arif Tanjung,Ilmu Komunikasi,PT Kapal Api Global,Specialist Finance,2019
UB0196,Lestari Yudhoyono,Teknik Komputer,PT Tsubaki Indonesia Manufacturing,Junior IT Support,2022
UB0197,Putri Siregar,Teknologi Informasi,"PT Japfa Comfeed Indonesia, Tbk",Lead IT Support,2016
UB0198,Siti Tanjung,Teknologi Hasil Pertanian,PT Bank KEB Hana Indonesia,Head of Department Marketing,2015
UB0199,Bella Kusumo,Teknik Lingkungan,JAPFA FOOD INDONESIA,Head of Department Marketing,2015
UB0200,Farhan Laksana,Hubungan Internasional,"PT DCI Indonesia, Tbk",Head of Department HR,2022
UB0201,Nina Utami,Teknik Elektro,CV Maju Mundur,Management Trainee Sales,2019
UB0202,Qori Siregar,Manajemen,"PT SMART,Tbk",Supervisor Sales,2021
UB0203,Yoga Zulkarnain,Hubungan Internasional,JAPFA FOOD INDONESIA,Head of Department Finance,2021
UB0204,Utomo Hidayat,Pendidikan TI,PT CFU Technology Indonesia,Manager HR,2023
UB0205,Bella Vebrianto,Teknologi Hasil Pertanian,StartUp Gagal Bangkit,Officer Sales,2019
UB0206,Utomo Aditama,Ilmu Hukum,Bank BCA,Management Trainee Finance,2023
UB0207,Sarah Widodo,Teknik Informatika,PT Bank KEB Hana Indonesia,Senior Product Manager,2017
UB0208,Gita Qodir,Teknik Komputer,"PT SMART,Tbk",Lead Data Scientist,2021
UB0209,Qori Anggara,Teknik Lingkungan,Gojek,Specialist Operations,2023
UB0210,Nina Kurnia,Ilmu Komunikasi,PT CFU Technology Indonesia,Specialist HR,2022
UB0211,Yoga Kusumo,Sistem Informasi,CV Maju Mundur,Senior Product Manager,2017
UB0212,Hana Puspa,Teknik Komputer,PT Penerbit Erlangga,Lead Product Manager,2020
UB0213,Bella Pangestu,Ilmu Hukum,"PT SMART,Tbk",Manager Operations,2021
UB0214,Putri Pangestu,Teknik Lingkungan,"PT Bank Danamon Indonesia, Tbk",Consultant HR,2020
UB0215,Joko Nasution,Ilmu Hukum,PT Handal Guna Sarana,Supervisor Admin,2020
UB0216,Erlangga Fauzi,Agribisnis,PT CFU Technology Indonesia,Supervisor Finance,2015
UB0217,Bagas Firmansyah,Teknik Industri,Telkom Indonesia,Manager Admin,2016
UB0218,Farhan Kusumo,Akuntansi,PT Sumber Rejeki,Analyst Admin,2017
UB0219,Vina Cahyono,Ilmu Hukum,PT. Bank KEB Hana Indonesia,Analyst Sales,2022
UB0220,Radit Aditama,Teknologi Hasil Pertanian,PT Mencari Cinta Sejati,Junior Staff HR,2020
UB0221,Joko Lestari,Pendidikan TI,"PT SMART,Tbk",Senior Staff Marketing,2022
UB0222,Xena Permata,Pendidikan TI,PT Sejahtera Abadi,Analyst Marketing,2019
UB0223,Siti Firmansyah,Akuntansi,PT Sumber Rejeki,Junior Staff Finance,2015
UB0224,Cahya Rahmawati,Teknologi Informasi,PT Kapal Api Global,Senior Product Manager,2017
UB0225,Chandra Suharto,Teknik Mesin,JAPFA FOOD INDONESIA,Manager Operations,2021
UB0226,Hana Nugroho,Teknik Industri,CV Maju Mundur,Supervisor HR,2020
UB0227,Zahra Utama,Manajemen,PT Kapal Api Global,Senior Staff Sales,2018
UB0228,Gita Tanjung,Administrasi Publik,PT Sejahtera Abadi,Engineer Finance,2023
UB0229,Aditya Fauzi,Ilmu Ekonomi,"PT SMART,Tbk",Head of Department Marketing,2017
UB0230,Nina Aminah,Hubungan Internasional,Bank BCA,Officer Finance,2021
UB0231,Arif Suharto,Psikologi,"PT DCI Indonesia, Tbk",Manager Sales,2015
UB0232,Andi Nasution,Teknik Elektro,"PT DCI Indonesia, Tbk",Analyst Marketing,2015
UB0233,Utomo Nugroho,Teknologi Informasi,PHINTRACO GROUP,Junior DevOps,2020
UB0234,Wahyu Irawan,Arsitektur,Gojek,Analyst HR,2015
UB0235,Rizky Kusumo,Pendidikan TI,CV Maju Mundur,Supervisor Finance,2020
UB0236,Citra Pratama,Ilmu Ekonomi,PT Indocyber Global Teknologi,Analyst Operations,2018
UB0237,Utomo Yulianto,Ekonomi Islam,PT Tsubaki Indonesia Manufacturing,Engineer Admin,2017
UB0238,Kartika Oktaviani,Ilmu Ekonomi,Tokopedia,Consultant Operations,2020
UB0239,Fajar Pangestu,Ilmu Hukum,PT Mencari Cinta Sejati,Senior Staff Finance,2023
UB0240,Fajar Hidayat,Akuntansi,"PT Japfa Comfeed Indonesia, Tbk",Head of Department Marketing,2020
UB0241,Hana Maulana,Psikologi,"PT Bank Danamon Indonesia, Tbk",Supervisor Marketing,2021
UB0242,Dewi Wibowo,Teknik Sipil,Bank Mandiri,Officer Operations,2018
UB0243,Lestari Kusuma,Teknologi Hasil Pertanian,JAPFA FOOD INDONESIA,Senior Staff Sales,2018
UB0244,Pandu Vebrianto,Agroekoteknologi,"PT Bank Danamon Indonesia, Tbk",Specialist HR,2015
UB0245,Qori Firmansyah,Teknik Sipil,PT Trinusa Travelindo,Engineer HR,2020
UB0246,Farhan Permata,Akuntansi,PT Mencari Cinta Sejati,Head of Department Marketing,2018
UB0247,Yoga Widodo,Teknologi Informasi,PT. Bank KEB Hana Indonesia,Lead DevOps,2015
UB0248,Desi Permata,Manajemen,Xiaomi Technology,Management Trainee HR,2016
UB0249,Budi Zulkarnain,Agroekoteknologi,PT Penerbit Erlangga,Junior Staff Sales,2021
UB0250,Nadia Kusumo,Ilmu Komunikasi,PHINTRACO GROUP,Senior Staff Sales,2023
UB0251,Dewi Tanjung,Teknologi Hasil Pertanian,JAPFA FOOD INDONESIA,Specialist Marketing,2023
UB0252,Irfan Suharto,Administrasi Publik,PT CFU Technology Indonesia,Junior Staff Operations,2018
UB0253,Tegar Setiawan,Teknik Elektro,PT Mencari Cinta Sejati,Senior Staff Admin,2023
UB0254,Qori Yudhoyono,Agroekoteknologi,PT CFU Technology Indonesia,Senior Staff Admin,2015
UB0255,Hadi Irawan,Teknologi Hasil Pertanian,StartUp Gagal Bangkit,Management Trainee HR,2018
UB0256,Dewi Efendi,Ekonomi Islam,Tokopedia,Analyst Operations,2015
UB0257,Pandu Tanjung,Ilmu Hukum,PT Solusi Transportasi Indonesia,Head of Department Admin,2016
UB0258,Andi Budiman,Teknik Elektro,CV Maju Mundur,Head of Department Admin,2021
UB0259,Yoga Soekarno,Sistem Informasi,PT Indocyber Global Teknologi,Junior DevOps,2017
UB0260,Rina Hidayat,Agribisnis,Tokopedia,Senior Staff HR,2022
UB0261,Bella Setiawan,Akuntansi,PT Sumber Rejeki,Consultant Finance,2017
UB0262,Dewi Pangestu,Teknik Komputer,CV Maju Mundur,Junior Software Engineer,2015
UB0263,Rina Nugroho,Akuntansi,PT. Bank KEB Hana Indonesia,Manager Operations,2022
UB0264,Gilang Puspa,Pendidikan TI,Bank BCA,Senior Staff Marketing,2022
UB0265,Wahyu Puspa,Hubungan Internasional,PT Sejahtera Abadi,Supervisor Sales,2015
UB0266,Hadi Kusumo,Agribisnis,PT Tsubaki Indonesia Manufacturing,Engineer HR,2022
UB0267,Arif Tanjung,Manajemen,Gojek,Management Trainee Sales,2016
UB0268,Nina Suharto,Teknologi Hasil Pertanian,PT Kapal Api Global,Supervisor Operations,2017
UB0269,Dimas Pratama,Teknik Mesin,PT Solusi Transportasi Indonesia,Specialist HR,2022
UB0270,Qori Hidayat,Manajemen,PT Sumber Rejeki,Supervisor Sales,2021
UB0271,Budi Firmansyah,Teknik Elektro,PT Indocyber Global Teknologi,Consultant Marketing,2021
UB0272,Citra Prasetyo,Teknologi Hasil Pertanian,Gojek,Junior Staff Admin,2016
UB0273,Agus Laksana,Teknologi Hasil Pertanian,"PT. Trimegah Sekuritas Indonesia, Tbk",Analyst Admin,2022
UB0274,Erlangga Kusuma,Teknologi Informasi,PT. Bank KEB Hana Indonesia,Lead IT Support,2015
UB0275,Irfan Prasetyo,Manajemen,PT Kapal Api Global,Engineer Operations,2015
UB0276,Chandra Wijaya,Teknik Lingkungan,PT MAS ARYA INDONESIA,Supervisor Marketing,2019
UB0277,Bayu Anggara,Agribisnis,Telkom Indonesia,Senior Staff Sales,2015
UB0278,Rina Wibowo,Hubungan Internasional,PT MAS ARYA INDONESIA,Manager Admin,2018
UB0279,Dinda Wulandari,Hubungan Internasional,Bank Mandiri,Management Trainee Finance,2020
UB0280,Sarah Kusumo,Teknik Elektro,PT Penerbit Erlangga,Officer HR,2019
UB0281,Budi Efendi,Teknik Industri,CV Maju Mundur,Supervisor Admin,2022
UB0282,Erlangga Widodo,Administrasi Publik,PT MAS ARYA INDONESIA,Manager Admin,2015
UB0283,Hadi Susanto,Sistem Informasi,PT Penerbit Erlangga,Senior Software Engineer,2021
